date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:04:59	130841/130841	---M--	200	added ('OK')	image/jpeg	etag:%221ff19-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_2459.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_2459.jpg	(from http://www.sunnyshutter.ca/)
23:05:00	137699/137699	---M--	200	added ('OK')	image/jpeg	etag:%22219e3-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_1500_2.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_1500_2.jpg	(from http://www.sunnyshutter.ca/)
23:05:15	100234/100234	---M--	200	added ('OK')	image/jpeg	etag:%221878a-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_0006.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_0006.jpg	(from http://www.sunnyshutter.ca/)
23:05:18	207188/207188	---M--	200	added ('OK')	image/jpeg	etag:%2232954-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_0781_1.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_0781_1.jpg	(from http://www.sunnyshutter.ca/)
23:05:20	250197/250197	---M--	200	added ('OK')	image/jpeg	etag:%223d155-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_0631.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_0631.jpg	(from http://www.sunnyshutter.ca/)
23:05:24	152093/152093	---M--	200	added ('OK')	image/jpeg	etag:%222521d-59e68f878b180%22	http://www.sunnyshutter.ca/images/IMG_3167.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/IMG_3167.jpg	(from http://www.sunnyshutter.ca/)
23:05:43	141439/141439	---M--	200	added ('OK')	image/jpeg	etag:%222287f-59e68f878b180%22	http://www.sunnyshutter.ca/images/avatar_5.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/avatar_5.jpg	(from http://www.sunnyshutter.ca/)
23:05:43	230/230	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:05:44%20GMT	http://www.sunnyshutter.ca/web_contents/testimonials/tracy/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonials/tracy/index.html	(from http://www.sunnyshutter.ca/)
23:05:48	149163/149163	---M--	200	added ('OK')	image/jpeg	etag:%22246ab-59e68f878b180%22	http://www.sunnyshutter.ca/images/avatar_4.jpg	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/images/avatar_4.jpg	(from http://www.sunnyshutter.ca/)
23:05:49	232/232	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2021%20Feb%202020%2004:05:50%20GMT	http://www.sunnyshutter.ca/web_contents/testimonials/maxwell/	C:/Users/leeyu/OneDrive%20-%20University%20of%20Toronto/Projects/SunnyShutter/Sunny_web/www.sunnyshutter.ca/web_contents/testimonials/maxwell/index.html	(from http://www.sunnyshutter.ca/)
